source,name,profile,instance_path,n,K,m,solver_seed,instance_seed,layout_id,run_id,status,elapsed_s,best_cost,error
cuda,n500_k8_s19000,generated_cuda,instances/test_aligned/n500_k8_s19000.vrp,500,8,256,1234,19000,grid100,1,ok,1.25,2146.785,
cuda,n1000_k8_s19001,generated_cuda,instances/test_aligned/n1000_k8_s19001.vrp,1000,8,256,1234,19001,grid100,1,ok,1.57,3686.162,
cuda,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1234,19002,grid100,1,ok,2.70,5299.937,
cuda,n4000_k8_s19003,generated_cuda,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,256,1234,19003,grid100,1,ok,6.23,8230.187,
cuda,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1234,19004,grid100,1,ok,15.00,11764.729,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1234,19002,grid100,1,ok,2.82,5299.937,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1235,19002,grid100,2,ok,2.67,5269.337,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1236,19002,grid100,3,ok,2.68,5265.716,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1237,19002,grid100,4,ok,2.71,5321.984,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1238,19002,grid100,5,ok,2.68,5307.563,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1239,19002,grid100,6,ok,2.70,5340.942,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1240,19002,grid100,7,ok,2.72,5290.086,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1241,19002,grid100,8,ok,2.71,5323.533,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1242,19002,grid100,9,ok,2.70,5291.191,
manifest_cuda_v6,n2000_k8_s19002,generated_cuda,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,256,1243,19002,grid100,10,ok,2.70,5263.448,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1234,19004,grid100,1,ok,15.01,11764.729,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1235,19004,grid100,2,ok,14.95,12123.535,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1236,19004,grid100,3,ok,14.98,12084.223,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1237,19004,grid100,4,ok,15.05,12011.425,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1238,19004,grid100,5,ok,15.08,12102.312,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1239,19004,grid100,6,ok,14.94,12056.863,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1240,19004,grid100,7,ok,14.98,12036.014,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1241,19004,grid100,8,ok,14.94,12009.604,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1242,19004,grid100,9,ok,14.93,12159.753,
manifest_cuda_v6,n8000_k8_s19004,generated_cuda,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1243,19004,grid100,10,ok,14.94,12020.408,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1234,19005,grid100,1,ok,38.25,17401.441,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1235,19005,grid100,2,ok,38.67,17563.170,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1236,19005,grid100,3,ok,38.31,17504.389,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1237,19005,grid100,4,ok,38.88,17632.793,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1238,19005,grid100,5,ok,38.80,17712.580,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1239,19005,grid100,6,ok,38.51,17643.551,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1240,19005,grid100,7,ok,38.25,17440.305,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1241,19005,grid100,8,ok,38.43,17397.408,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1242,19005,grid100,9,ok,38.54,17686.492,
manifest_cuda_v6,n16000_k16_s19005,generated_cuda,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,256,1243,19005,grid100,10,ok,38.56,17561.436,
