name,profile,instance_path,n,K,m,solver_seed,instance_seed,layout_id,run_id,status,elapsed_s,max_rss_gb,best_cost,error,mpi_ranks,omp_threads,batch_id
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,78.96,0.221874,5579.427,,1,8,req_hybrid_c8
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,53.31,0.402538,8224.951,,1,8,req_hybrid_c8
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,77.58,1.120796,10633.079,,1,8,req_hybrid_c8
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,149.07,3.996288,13144.600,,1,8,req_hybrid_c8
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,412.70,15.499218,14625.831,,1,8,req_hybrid_c8
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,78.96,0.221874,5579.427,,1,8,req_hybrid_c8
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,53.31,0.402538,8224.951,,1,8,req_hybrid_c8
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,77.58,1.120796,10633.079,,1,8,req_hybrid_c8
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,149.07,3.996288,13144.600,,1,8,req_hybrid_c8
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,412.70,15.499218,14625.831,,1,8,req_hybrid_c8
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,366.55,0.204479,5579.427,,1,32,req_hybrid_c32
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,50.55,0.388771,8224.951,,1,32,req_hybrid_c32
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,75.22,1.112888,10633.079,,1,32,req_hybrid_c32
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,142.92,4.022072,13144.600,,1,32,req_hybrid_c32
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,431.79,15.663185,14625.831,,1,32,req_hybrid_c32
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,120.72,0.209850,5579.427,,1,64,req_hybrid_c64
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,76.20,0.397358,8224.951,,1,64,req_hybrid_c64
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,101.78,1.129047,10633.079,,1,64,req_hybrid_c64
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,165.73,4.085102,13144.600,,1,64,req_hybrid_c64
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,456.39,15.908592,14625.831,,1,64,req_hybrid_c64
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,79.24,0.216335,5579.427,,1,128,req_hybrid_c128
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,54.86,0.410667,8224.951,,1,128,req_hybrid_c128
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,79.95,1.157738,10633.079,,1,128,req_hybrid_c128
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,146.70,4.206078,13144.600,,1,128,req_hybrid_c128
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,428.55,16.396507,14625.831,,1,128,req_hybrid_c128
