name,profile,instance_path,n,K,m,solver_seed,instance_seed,layout_id,run_id,status,elapsed_s,max_rss_gb,best_cost,error,mpi_ranks,omp_threads,batch_id
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,239.27,0.200787,5576.629,,1,1,req_strong_openmp_t1
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,159.30,0.380966,8200.509,,1,1,req_strong_openmp_t1
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,162.45,1.096783,10633.079,,1,1,req_strong_openmp_t1
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,275.81,3.963486,13144.600,,1,1,req_strong_openmp_t1
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,574.45,15.425392,14625.831,,1,1,req_strong_openmp_t1
n64000_k63_s19007,generated_mpi,instances/test_aligned/n64000_k63_s19007.vrp,64000,63,4,1234,19007,grid100,1,ok,677.04,61.273628,16195.668,,1,1,req_strong_openmp_t1
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,73.54,0.200783,5579.427,,1,4,req_strong_openmp_t4
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,49.28,0.381935,8224.951,,1,4,req_strong_openmp_t4
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,74.17,1.098732,10633.079,,1,4,req_strong_openmp_t4
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,146.82,3.968849,13144.600,,1,4,req_strong_openmp_t4
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,432.00,15.447857,14625.831,,1,4,req_strong_openmp_t4
n64000_k63_s19007,generated_mpi,instances/test_aligned/n64000_k63_s19007.vrp,64000,63,4,1234,19007,grid100,1,ok,382.68,61.364731,16195.668,,1,4,req_strong_openmp_t4
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,117.23,0.202290,5579.427,,1,8,req_strong_openmp_t8
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,73.01,0.383194,8224.951,,1,8,req_strong_openmp_t8
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,101.87,1.101460,10633.079,,1,8,req_strong_openmp_t8
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,162.37,3.976952,13144.600,,1,8,req_strong_openmp_t8
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,454.72,15.479874,14625.831,,1,8,req_strong_openmp_t8
n64000_k63_s19007,generated_mpi,instances/test_aligned/n64000_k63_s19007.vrp,64000,63,4,1234,19007,grid100,1,ok,383.81,61.484570,16195.668,,1,8,req_strong_openmp_t8
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,74.97,0.202740,5579.427,,1,16,req_strong_openmp_t16
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,49.27,0.384388,8224.951,,1,16,req_strong_openmp_t16
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,75.21,1.104595,10633.079,,1,16,req_strong_openmp_t16
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,141.80,3.992290,13144.600,,1,16,req_strong_openmp_t16
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,432.13,15.540138,14625.831,,1,16,req_strong_openmp_t16
n2000_k8_s19002,generated_mpi,instances/test_aligned/n2000_k8_s19002.vrp,2000,8,64,1234,19002,grid100,1,ok,75.98,0.224804,5579.427,,1,32,req_strong_openmp_t32
n4000_k8_s19003,generated_mpi,instances/test_aligned/n4000_k8_s19003.vrp,4000,8,32,1234,19003,grid100,1,ok,50.24,0.408302,8224.951,,1,32,req_strong_openmp_t32
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,75.16,1.132519,10633.079,,1,32,req_strong_openmp_t32
n16000_k16_s19005,generated_mpi,instances/test_aligned/n16000_k16_s19005.vrp,16000,16,16,1234,19005,grid100,1,ok,142.34,4.043163,13144.600,,1,32,req_strong_openmp_t32
n32000_k32_s19006,generated_mpi,instances/test_aligned/n32000_k32_s19006.vrp,32000,32,8,1234,19006,grid100,1,ok,422.78,15.682808,14625.831,,1,32,req_strong_openmp_t32
