CUDA Solver starting... (N=4000, K=8, M=256)
[progress][cuda] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.0s | tempo_rimanente=300.0s | best_cost=10744.454
[progress][cuda] epoca=4 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=10719.612
[progress][cuda] epoca=5 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=10701.696
[progress][cuda] epoca=6 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=10657.797
[progress][cuda] epoca=7 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=10526.643
[progress][cuda] epoca=8 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=10351.373
[progress][cuda] epoca=9 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=10085.587
[progress][cuda] epoca=10 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=9922.484
[progress][cuda] epoca=11 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=9381.386
[progress][cuda] epoca=12 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.2s | tempo_rimanente=299.8s | best_cost=9367.316
[progress][cuda] epoca=13 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=9147.107
[progress][cuda] epoca=14 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=8793.416
[progress][cuda] epoca=17 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=8690.564
[progress][cuda] epoca=19 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=8646.323
[progress][cuda] epoca=20 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=8533.400
[progress][cuda] epoca=30 | epoche_rimanenti_prima_stop=490 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=8531.749
[progress][cuda] epoca=31 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=8481.145
[progress][cuda] epoca=32 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.5s | tempo_rimanente=299.5s | best_cost=8410.848
[progress][cuda] epoca=40 | epoche_rimanenti_prima_stop=492 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=8410.848
[progress][cuda] epoca=46 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=8337.482
[progress][cuda] epoca=50 | epoche_rimanenti_prima_stop=496 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=8337.482
[progress][cuda] epoca=60 | epoche_rimanenti_prima_stop=486 | tempo_trascorso=0.8s | tempo_rimanente=299.2s | best_cost=8337.482
[progress][cuda] epoca=70 | epoche_rimanenti_prima_stop=476 | tempo_trascorso=1.0s | tempo_rimanente=299.0s | best_cost=8337.482
[progress][cuda] epoca=80 | epoche_rimanenti_prima_stop=466 | tempo_trascorso=1.1s | tempo_rimanente=298.9s | best_cost=8337.482
[progress][cuda] epoca=90 | epoche_rimanenti_prima_stop=456 | tempo_trascorso=1.2s | tempo_rimanente=298.8s | best_cost=8337.482
[progress][cuda] epoca=100 | epoche_rimanenti_prima_stop=446 | tempo_trascorso=1.3s | tempo_rimanente=298.7s | best_cost=8337.482
[progress][cuda] epoca=109 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.4s | tempo_rimanente=298.6s | best_cost=8253.436
[progress][cuda] epoca=110 | epoche_rimanenti_prima_stop=499 | tempo_trascorso=1.4s | tempo_rimanente=298.6s | best_cost=8253.436
[progress][cuda] epoca=120 | epoche_rimanenti_prima_stop=489 | tempo_trascorso=1.5s | tempo_rimanente=298.5s | best_cost=8253.436
[progress][cuda] epoca=130 | epoche_rimanenti_prima_stop=479 | tempo_trascorso=1.6s | tempo_rimanente=298.4s | best_cost=8253.436
[progress][cuda] epoca=140 | epoche_rimanenti_prima_stop=469 | tempo_trascorso=1.7s | tempo_rimanente=298.3s | best_cost=8253.436
[progress][cuda] epoca=150 | epoche_rimanenti_prima_stop=459 | tempo_trascorso=1.9s | tempo_rimanente=298.1s | best_cost=8253.436
[progress][cuda] epoca=160 | epoche_rimanenti_prima_stop=449 | tempo_trascorso=2.0s | tempo_rimanente=298.0s | best_cost=8253.436
[progress][cuda] epoca=170 | epoche_rimanenti_prima_stop=439 | tempo_trascorso=2.1s | tempo_rimanente=297.9s | best_cost=8253.436
[progress][cuda] epoca=180 | epoche_rimanenti_prima_stop=429 | tempo_trascorso=2.2s | tempo_rimanente=297.8s | best_cost=8253.436
[progress][cuda] epoca=190 | epoche_rimanenti_prima_stop=419 | tempo_trascorso=2.3s | tempo_rimanente=297.7s | best_cost=8253.436
[progress][cuda] epoca=200 | epoche_rimanenti_prima_stop=409 | tempo_trascorso=2.4s | tempo_rimanente=297.6s | best_cost=8253.436
[progress][cuda] epoca=210 | epoche_rimanenti_prima_stop=399 | tempo_trascorso=2.5s | tempo_rimanente=297.5s | best_cost=8253.436
[progress][cuda] epoca=220 | epoche_rimanenti_prima_stop=389 | tempo_trascorso=2.6s | tempo_rimanente=297.4s | best_cost=8253.436
