[progress][seq] epoca=1 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.1s | tempo_rimanente=299.9s | best_cost=13855.522
[progress][seq] epoca=2 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.3s | tempo_rimanente=299.7s | best_cost=13260.459
[progress][seq] epoca=3 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.4s | tempo_rimanente=299.6s | best_cost=13101.830
[progress][seq] epoca=4 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.6s | tempo_rimanente=299.4s | best_cost=12781.822
[progress][seq] epoca=5 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.7s | tempo_rimanente=299.3s | best_cost=11170.444
[progress][seq] epoca=6 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=0.9s | tempo_rimanente=299.1s | best_cost=10120.102
[progress][seq] epoca=7 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=1.0s | tempo_rimanente=299.0s | best_cost=9452.955
[progress][seq] epoca=10 | epoche_rimanenti_prima_stop=497 | tempo_trascorso=1.5s | tempo_rimanente=298.5s | best_cost=9452.955
[progress][seq] epoca=20 | epoche_rimanenti_prima_stop=487 | tempo_trascorso=2.9s | tempo_rimanente=297.1s | best_cost=9452.955
[progress][seq] epoca=22 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=3.2s | tempo_rimanente=296.8s | best_cost=9100.316
[progress][seq] epoca=30 | epoche_rimanenti_prima_stop=492 | tempo_trascorso=4.3s | tempo_rimanente=295.7s | best_cost=9100.316
[progress][seq] epoca=40 | epoche_rimanenti_prima_stop=482 | tempo_trascorso=5.8s | tempo_rimanente=294.2s | best_cost=9100.316
[progress][seq] epoca=50 | epoche_rimanenti_prima_stop=472 | tempo_trascorso=7.2s | tempo_rimanente=292.8s | best_cost=9100.316
[progress][seq] epoca=60 | epoche_rimanenti_prima_stop=462 | tempo_trascorso=8.7s | tempo_rimanente=291.3s | best_cost=9100.316
[progress][seq] epoca=70 | epoche_rimanenti_prima_stop=452 | tempo_trascorso=10.1s | tempo_rimanente=289.9s | best_cost=9100.316
[progress][seq] epoca=80 | epoche_rimanenti_prima_stop=442 | tempo_trascorso=11.6s | tempo_rimanente=288.4s | best_cost=9100.316
[progress][seq] epoca=90 | epoche_rimanenti_prima_stop=432 | tempo_trascorso=13.0s | tempo_rimanente=287.0s | best_cost=9100.316
[progress][seq] epoca=100 | epoche_rimanenti_prima_stop=422 | tempo_trascorso=14.5s | tempo_rimanente=285.5s | best_cost=9100.316
[progress][seq] epoca=110 | epoche_rimanenti_prima_stop=412 | tempo_trascorso=15.9s | tempo_rimanente=284.1s | best_cost=9100.316
[progress][seq] epoca=120 | epoche_rimanenti_prima_stop=402 | tempo_trascorso=17.4s | tempo_rimanente=282.6s | best_cost=9100.316
[progress][seq] epoca=130 | epoche_rimanenti_prima_stop=392 | tempo_trascorso=18.8s | tempo_rimanente=281.2s | best_cost=9100.316
