name,profile,instance_path,n,K,m,solver_seed,instance_seed,layout_id,run_id,status,elapsed_s,max_rss_gb,best_cost,error,mpi_ranks,omp_threads,batch_id
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1234,19004,grid100,1,ok,29.50,0.008301,10669.970,,1,1,weak_openmp_c1_m32
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1235,19004,grid100,2,ok,29.35,0.008301,10484.770,,1,1,weak_openmp_c1_m32
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,32,1236,19004,grid100,3,ok,29.53,0.008301,10597.509,,1,1,weak_openmp_c1_m32
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,64,1234,19004,grid100,1,ok,30.51,0.008301,10494.856,,1,2,weak_openmp_c2_m64
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,64,1235,19004,grid100,2,ok,29.91,0.007812,10604.965,,1,2,weak_openmp_c2_m64
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,64,1236,19004,grid100,3,ok,30.87,0.007812,10583.200,,1,2,weak_openmp_c2_m64
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,128,1234,19004,grid100,1,ok,27.24,0.007812,10435.209,,1,4,weak_openmp_c4_m128
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,128,1235,19004,grid100,2,ok,27.22,0.007812,10395.077,,1,4,weak_openmp_c4_m128
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,128,1236,19004,grid100,3,ok,26.85,0.007812,10365.715,,1,4,weak_openmp_c4_m128
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1234,19004,grid100,1,ok,26.58,0.008301,10326.971,,1,8,weak_openmp_c8_m256
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1235,19004,grid100,2,ok,26.83,0.007812,10567.571,,1,8,weak_openmp_c8_m256
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,256,1236,19004,grid100,3,ok,26.72,0.008301,10180.534,,1,8,weak_openmp_c8_m256
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,512,1234,19004,grid100,1,ok,25.79,0.008301,10210.225,,1,16,weak_openmp_c16_m512
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,512,1235,19004,grid100,2,ok,25.46,0.008301,10564.213,,1,16,weak_openmp_c16_m512
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,512,1236,19004,grid100,3,ok,25.23,0.008301,10198.060,,1,16,weak_openmp_c16_m512
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,1024,1234,19004,grid100,1,ok,25.39,0.008301,10368.762,,1,32,weak_openmp_c32_m1024
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,1024,1235,19004,grid100,2,ok,25.07,0.008301,10263.295,,1,32,weak_openmp_c32_m1024
n8000_k8_s19004,generated_mpi,instances/test_aligned/n8000_k8_s19004.vrp,8000,8,1024,1236,19004,grid100,3,ok,25.94,0.008301,10448.271,,1,32,weak_openmp_c32_m1024
